Total scraped entries: 140
-------------------------------------
 Views  +1  -1   |Speakers|                               Title

 65088 442 192 Jessica McKellar     (Hands-on intro to Python for beginning programmers)
  4531  33 179 Andrew Godwin        (Designing Django's Migrations)
  5987  33 139 Jason Myers          (Introduction to SQLAlchemy Core)
  6633  33 109 Jessica McKellar     (Building and breaking a Python sandbox)
  3227  32 194 Rachel Sanders       (Developing Flask Extensions)
  5641  30 128 Niko Skrypnik        (2D/3D graphics with Python on mobile platforms)
  1726  30  24 C. Titus Brown       (Data intensive biology in the cloud: instrumenting ALL the things)
  4424  30 108 Benjamin Peterson    (Garbage Collection in Python)
  2903  30 125 Craig Kerstiens      (Postgres Performance for Humans)
  2691  29 135 Allison Kaptur       (Import-ant Decisions)
  4174  29  90 Michael Becker       (Realtime predictive analytics using scikit-learn & RabbitMQ)
  2484  29 143 Kushal Das           (Teaching Python: To Infinity and Beyond)
  2328  28 101 Katharine Jarmul     (Python Scraping Showdown: A performance and accuracy review)
  3652  27  70 Asheesh Laroia       (Turn Your Computer Into a Server)
  3082  27  77 Jim Blomo            (mrjob: Snakes on a Hadoop)
  6264  26 182 Holger Krekel        (Improving automated testing with py.test)
  5356  25  83 Stuart Williams      (Python Epiphanies)
  4535  24 125 Katherine Scott      (Hello Physical World: A Crash Course on the Internet of Things)
  5758  24  92 Jeff Schenck         (Straightening Out AngularJS with Python)
  3187  23 129 Stacey Sern          (An Introduction to Twisted)
  4532  23  77 Jake Vanderplas      (Diving deeper into Machine Learning with Scikit-learn)
  5066  21  13 G. Clifford Williams (0 to 00111100 with web2py)
  1318  20  89 Noah Kantrowitz      (Application Deployment State of the Onion)
  1552  19  22 Luke Miller          (My big gay adventure. Making, releasing and selling an indie game made in python.)
  1034  19 145 Dan Callahan         (Quick Wins for Better Website Security)
  3607  19 139 Narahari Allamraju   (Distributed task processing using Celery)
  3303  19  50 Renee Chu            (Python for Social Scientists)
  2597  19 133 Jarret Raim          (The State of Crypto in Python)
  2013  18 195 Brett Slatkin        (Fan-in and Fan-out: The crucial components of concurrency)
  2323  17 141 Selena Deckelmann    (Sane schema migrations with Alembic and SQLAlchemy)
  2371  17 143 Christine Spang      (Subprocess to FFI: Memory, Performance, and Why You Shouldn't Shell Out)
  1630  16  38 Ying Li              (Multi-factor Authentication - Possession Factors)
  1622  16  50 Kate Heddleston      (Technical on-boarding, training, and mentoring.)
  3171  16 195 Greg Ward            (Unit Testing Makes Your Code Better)
  1578  16 124 Noah Kantrowitz      (What is coming in Python packaging)
  2545  16 196 John Perry Barlow    (Keynote - John Perry Barlow)
  2111  15  96 Mele Sax-Barnett     (Python + Geographic Data = BFFs)
  2443  14 184 Portia Burton        (Know Thy Neighbor: Scikit and the K-Nearest Neighbor Algorithm)
  3856  14 185 Alex Gaynor          (Pickles are for Delis, not Software)
  3443  13 112 Unknown              (Lightning talks - Sunday morning)
  2653  13  22 Blaise Laflamme      (Upgrade your Web Development Toolchain)
  2026  13 152 James King           (Castle Anthrax: Dungeon Generation Techniques)
  3924  13  21 Mike Müller          (Descriptors and Metaclasses - Understanding and Using Python's More Advanced Features)
  2147  12 174 Hannu Krosing        (PostgreSQL is Web Scale (Really :) ))
  2461  12  24 Kevin Ballard        (Pushing Python: Building a High Throughput, Low Latency System)
  2317  12 194 Paul Everitt         (Python 3/2 Web Development with Pyramid)
  2375  11  68 Victor Stinner       (Track memory leaks in Python)
  3391  11  56 Krishna Sankar       (Data Wrangling for Kaggle Data Science Competitions -- An etude)
  3276  11  38 Mike Müller          (Faster Python Programs through Optimization)
  4023  10  35 Christine Spang      (Search 101: An Introduction to Information Retrieval)
  2414  10  41 Barbara Shaurette    (The Young Coder: Let's Learn Python)
  1172  10  92 Laurens Van Houtven  (Twisted Mixing)
  1034   9 169 Augie Fackler        (Deliver Your Software In An Envelope)
  1153   9 140 Jessica Hamrick      (Games for Science: Creating interactive psychology experiments)
  2369   9 109 Unknown              (Lightning talks - Sunday afternoon)
  1398   9 104 Dan Crosta           (Performance Testing and Profiling: A Virtuous Cycle)
  2495   9 108 Jason Moore          (Dynamics and Control with Python)
  1638   8  68 Lewis Franklin       (Distributed Computing Is Hard, Lets Go Shopping)
  1329   7 111 Narahari Allamraju   (Which messaging layer should you use if you want to build)
  1926   7  34 Lynn Root            (For Lack of a Better Name(server): DNS Explained.)
  1023   7  50 Selena Deckelmann    (The Python Pipeline: Why you should reach out to local teachers)
   632   6 189 Ruchi Varshney       (Localization Revisited)
   914   6  97 Catherine Devlin     (See Docs Run. Run, Docs, Run!)
  2316   6 140 Megan Speir          (So You Want to Build an API?)
  1399   6  33 Tavish Armstrong     (Software Engineering Research for Hackers: Bridging the Two Solitudes)
  1741   6 138 Christian Fricke     (Hands-on with Pydata: how to build a minimal)
   873   6 199 Unknown              (Lightning talks - Saturday Evening)
  1945   6  22 Unknown              (Lightning talks - Friday afternoon)
  1591   5  81 Juan Gomez           (REST is not enough: Using Push Notifications to better support your mobile clients)
   510   5 114 Bradley Angell       (Smart Dumpster: Employing Python to Report Real-Time Resource)
   854   5 135 Preston Holmes       (Blending art, technology, and light, Python for interactive and real time)
   874   5 198 Tres Seaver          (By Your Bootstraps: Porting Your Application to Python3)
  2220   5  29 Eric Ma              (How to formulate a (science) problem and analyze it using Python code)
  1045   4  94 Scott Lobdell        (Programming an Autonomous 20 Foot Blimp with Python)
  1044   3 150 Van Lindberg         (Keynote - Van Lindberg)
  4846   3  11 Aurynn Shaw          (Let's Learn Twisted Python)
   785   3 193 David Stanek         (Shiny, Let's Be Bad Guys: Exploiting and Mitigating the Top 10)
   254   2  70 Marina Zhurakhinskaya (Outreach Program for Women: Lessons in Collaboration)
  1771   2  22 Hannah Aizenman      (Beyond Defaults: Creating Polished Visualizations Using Matplotlib)
  1195   2  36 Akkana Peck          (Build your own PiDoorbell! - Learn Home Automation with Python)
   768   1 112 Unknown              (Closing address - PyCon 2014 (2014/04/13))
   556   1 138 Justin Bronn         (Puppet Modules: Apps for Ops)
   985   0 150 Unknown              (Lightning talks - Saturday morning)
     0   0 109 Van Lindberg         (PyCon 2014 Awards)
   466   0 129 Ashwini Oruganti     (Kneel And Disconnect: Getting The Fastest Connection Out Of A Hostname)
   580   0 122 Brett Cannon         (Opening Statements - PyCon 2014 (2014/04/11))
